epoch,mem_used_mb,mem_available_mb,swap_used_mb,si,so,load1
1786099388,1333,574,13,0,1270,0.81
1786099398,1334,573,13,0,0,1.45
1786099408,1330,577,13,0,0,1.92
1786099418,1093,813,13,0,29,1.93
1786099428,1094,813,13,0,0,1.86
1786099438,1097,810,13,0,0,1.73
1786099448,1097,810,13,0,0,1.69
1786099458,1096,811,13,0,0,1.58
1786099468,1096,811,13,0,0,1.49
1786099478,1095,812,13,1,0,1.42
1786099488,1096,811,13,0,0,1.51
1786099498,1095,811,13,0,0,1.43
1786099508,1095,812,13,0,0,1.36
1786099518,1095,812,13,0,0,1.31
1786099528,1100,807,13,0,0,1.26
1786099538,1102,805,13,0,0,1.22
1786099548,1102,805,13,0,0,1.18
1786099558,1102,805,13,0,0,1.24
1786099568,1101,805,13,0,0,1.35
1786099579,1101,805,13,0,0,1.30
1786099589,1101,805,13,0,0,1.41
1786099599,1352,555,65,0,5174,1.89
1786099609,1343,564,65,0,0,2.76
1786099619,1347,560,65,0,0,3.03
1786099629,1371,535,65,0,0,3.18
1786099639,1373,534,65,0,0,3.39
1786099649,1345,562,65,0,0,3.56
1786099659,1035,872,65,32,0,3.24
1786099669,1033,873,65,1,0,3.05
1786099679,1037,869,65,0,0,2.74
1786099689,1036,871,65,0,0,2.47
1786099699,1036,871,65,0,0,2.47
1786099709,1041,866,65,0,0,2.24
1786099719,1045,862,65,0,0,2.05
1786099729,1043,864,65,0,0,1.89
1786099739,1043,864,65,0,0,1.97
1786099749,1042,865,65,0,0,1.82
1786099759,1038,869,65,0,0,1.77
1786099769,1038,869,65,0,0,1.73
1786099779,1033,873,65,0,0,1.69
1786099789,1036,871,65,1,0,1.58
1786099799,1034,873,65,0,0,1.49
1786099809,1034,873,65,0,0,1.42
1786099819,1032,875,65,0,0,1.43
1786099829,1028,879,62,265,0,1.36
1786099839,1318,589,62,0,0,1.85
1786099849,1322,584,62,0,0,2.12
1786099859,1328,578,62,0,0,2.56
1786099869,1342,565,62,0,0,2.71
1786099880,1350,557,62,0,0,3.13
1786099890,1334,572,62,0,0,3.35
1786099900,1020,887,61,96,0,3.29
1786099910,1019,888,61,0,0,2.94
1786099920,1023,884,61,0,0,2.71
1786099930,1019,888,61,0,0,2.45
1786099940,1021,886,61,0,0,2.22
1786099950,1021,886,61,0,0,2.04
1786099960,1035,872,61,0,0,1.88
1786099970,1020,887,61,0,0,1.82
1786099980,1015,891,61,0,0,1.69
1786099990,1015,891,61,0,0,1.59
1786100000,1015,891,61,0,0,1.57
1786100010,1016,891,61,0,0,1.48
1786100020,1016,891,61,0,0,1.41
1786100030,1017,890,61,0,0,1.35
1786100040,1017,889,61,0,0,1.29
1786100050,1017,890,61,0,0,1.33
1786100060,1017,890,61,0,0,1.28
1786100070,1017,890,61,0,0,1.23
1786100080,1309,598,61,2,0,1.67
1786100090,1314,593,61,0,0,2.17
1786100100,1319,588,61,0,0,2.46
1786100110,1335,572,61,0,0,2.70
1786100120,1343,564,61,0,0,2.91
1786100130,1342,565,61,0,0,3.39
1786100140,1036,871,61,0,0,3.39
1786100151,1042,864,61,0,0,3.17
1786100161,1039,868,61,0,0,2.83
1786100171,1038,869,61,0,0,2.70
1786100181,1036,871,61,0,0,2.44
1786100191,1036,871,61,0,0,2.22
1786100201,1039,868,61,0,0,2.03
1786100211,1037,870,61,0,0,1.87
1786100221,1040,867,61,0,0,1.82
1786100231,1039,868,61,0,0,1.69
1786100241,1040,867,61,0,0,1.74
1786100251,1035,872,61,0,0,1.63
1786100261,1035,872,61,0,0,1.61
1786100271,1039,868,61,0,0,1.52
1786100281,1038,868,61,0,0,1.44
1786100291,1038,868,61,0,0,1.37
1786100301,1037,869,61,0,0,1.31
