epoch,mem_used_mb,mem_available_mb,swap_used_mb,si,so,load1
1786097471,866,1041,480,2616,0,2.47
1786097481,850,1056,480,12,0,2.48
1786097491,846,1061,480,2,0,2.63
1786097502,650,1257,445,5503,0,2.45
1786097512,797,1110,445,15746,0,2.23
1786097522,839,1068,415,4810,0,2.04
1786097532,836,1070,415,29,0,1.88
1786097542,839,1067,414,1,0,1.74
1786097552,839,1068,414,17,0,1.78
1786097562,842,1065,414,0,0,1.74
1786097572,838,1069,414,3,0,1.62
1786097582,838,1069,414,1,0,1.53
1786097592,837,1070,414,1,0,1.53
1786097602,837,1070,414,0,0,1.44
1786097612,837,1070,414,0,0,1.38
1786097622,836,1071,414,0,0,1.40
1786097632,833,1074,414,0,0,1.49
1786097642,833,1073,414,0,0,1.50
1786097652,833,1073,414,0,0,1.42
1786097662,833,1074,414,0,0,1.35
1786097672,833,1073,414,1,0,1.30
1786097682,830,1077,414,0,0,1.25
1786097692,831,1075,404,1009,0,1.37
1786097702,1122,785,404,0,0,1.78
1786097712,1137,769,404,0,0,2.13
1786097722,1141,766,404,0,0,2.65
1786097732,1149,758,404,4,0,3.02
1786097742,1153,754,404,0,0,3.25
1786097752,1154,753,404,0,0,3.44
1786097762,856,1051,393,1054,0,3.14
1786097772,862,1044,393,12,0,2.97
1786097782,863,1044,393,2,0,2.75
1786097792,865,1042,393,2,0,2.48
1786097803,863,1044,393,0,0,2.25
1786097813,863,1044,393,0,0,2.06
1786097823,860,1047,393,0,0,2.05
1786097833,857,1049,393,0,0,1.96
1786097843,855,1052,393,0,0,1.97
1786097853,855,1052,393,0,0,1.98
1786097863,853,1054,393,0,0,1.91
1786097873,853,1054,393,0,0,1.77
1786097883,853,1053,393,1,0,1.65
1786097893,857,1050,393,0,0,1.55
1786097903,857,1050,393,0,0,1.55
1786097913,857,1050,393,0,0,1.46
1786097923,857,1050,393,0,0,1.39
1786097933,860,1047,393,14,0,1.33
1786097943,1164,742,393,0,0,1.83
1786097953,1148,759,393,0,2,2.24
1786097963,1153,754,393,0,0,2.65
1786097973,1159,748,393,2,0,2.94
1786097983,1159,748,393,0,0,3.10
1786097993,1164,743,393,0,0,3.17
1786098003,869,1038,391,155,0,2.99
1786098013,869,1038,391,1,0,2.68
1786098023,868,1039,391,0,0,2.42
1786098033,868,1039,391,0,0,2.51
1786098043,868,1039,391,0,0,2.28
1786098053,866,1040,391,0,0,2.08
1786098063,866,1040,391,0,0,1.91
1786098073,867,1040,391,1,0,1.85
1786098083,867,1040,391,0,0,1.80
1786098093,867,1040,391,0,0,1.68
1786098104,867,1040,391,0,0,1.57
1786098114,865,1042,391,0,0,1.56
1786098124,864,1042,391,0,0,1.47
1786098134,864,1043,391,6,0,1.56
